timestamp,device_id,fault_type,recovery_time,latitude,longitude
2021-01-01 00:30:00,1,网络中断,40,32.41601458919806,127.22853206370596
2021-01-01 01:30:00,1,连接丢失,52,36.87731234013918,123.06983152816399
2021-01-01 02:30:00,12,网络中断,12,35.92881165128883,126.94671780942146
2021-01-01 03:30:00,6,网络中断,21,35.237859990782866,120.14171226765357
2021-01-01 04:30:00,18,信号质量下降,14,32.51472500852359,124.16932463099715
2021-01-01 05:30:00,2,硬件故障,3,30.620258226134165,121.77136030589465
2021-01-01 06:30:00,10,连接丢失,13,35.93626219062212,125.62688796638584
2021-01-01 07:30:00,7,硬件故障,55,37.69281953756066,122.29888148859023
2021-01-01 08:30:00,15,连接丢失,56,30.489458709579388,120.32759045820548
2021-01-01 09:30:00,4,硬件故障,32,30.66043344759831,120.87343862382164
2021-01-01 10:30:00,19,连接丢失,8,38.09901653951636,128.20245716264753
2021-01-01 11:30:00,3,连接丢失,54,36.88783630549256,129.2345591803005
2021-01-01 12:30:00,17,信号质量下降,31,39.77387082000237,128.13019898358246
2021-01-01 13:30:00,10,连接丢失,14,33.866678755869565,127.94792246338359
2021-01-01 14:30:00,13,连接丢失,9,32.91073599379605,121.52453477288788
2021-01-01 15:30:00,12,硬件故障,39,38.76826298626054,127.82697815308515
2021-01-01 16:30:00,12,硬件故障,4,30.650574193099313,124.10973597010616
2021-01-01 17:30:00,2,网络中断,9,39.70627979596135,124.59642697613228
2021-01-01 18:30:00,10,信号质量下降,28,35.05469349410689,120.91408016156332
2021-01-01 19:30:00,17,网络中断,15,30.886699595197776,123.33331611639376
2021-01-01 20:30:00,19,信号质量下降,2,37.52933139506936,127.77180110958314
2021-01-01 21:30:00,12,网络中断,28,33.09718891867485,122.38419913554547
2021-01-01 22:30:00,17,信号质量下降,28,33.44214235490975,123.43817851779826
2021-01-01 23:30:00,1,网络中断,38,31.669921222461536,123.47066465102486
2021-01-02 00:30:00,15,信号质量下降,14,32.385920613548194,126.22628211190153
2021-01-02 01:30:00,12,信号质量下降,23,33.32798914463629,121.72013208979595
2021-01-02 02:30:00,8,网络中断,44,31.649402060329102,129.43973460302078
2021-01-02 03:30:00,8,网络中断,10,39.81055461891357,125.76384326123
2021-01-02 04:30:00,10,硬件故障,52,34.058685417056054,126.78224961146441
2021-01-02 05:30:00,5,网络中断,47,32.64404155857755,127.3568179526489
2021-01-02 06:30:00,6,硬件故障,30,38.35357854692381,129.8754917461007
2021-01-02 07:30:00,16,硬件故障,52,31.66858772638469,122.08544548641326
2021-01-02 08:30:00,18,硬件故障,48,32.2800466304254,122.23330172870943
2021-01-02 09:30:00,4,连接丢失,7,39.20657753224533,124.84462940832903
2021-01-02 10:30:00,9,连接丢失,35,39.61842940641237,128.05973565143196
2021-01-02 11:30:00,17,网络中断,13,37.090535245510225,128.76389356063981
2021-01-02 12:30:00,8,信号质量下降,47,34.8874843005428,127.21463033016713
2021-01-02 13:30:00,13,硬件故障,25,33.288230741539955,120.65546897040184
2021-01-02 14:30:00,12,信号质量下降,5,32.9285246441309,127.71980620862709
2021-01-02 15:30:00,5,网络中断,39,38.29876902533503,120.69025098961363
2021-01-02 16:30:00,17,连接丢失,51,30.818712940620017,128.73960302870606
2021-01-02 17:30:00,3,连接丢失,56,33.91333033145773,124.52996922669931
2021-01-02 18:30:00,8,网络中断,49,35.097765050111825,129.3310075670374
2021-01-02 19:30:00,3,信号质量下降,15,36.21428020991924,125.23680222223045
2021-01-02 20:30:00,9,连接丢失,1,35.29023083545378,125.22103446512229
2021-01-02 21:30:00,10,连接丢失,7,32.14505546943383,127.30370555302011
2021-01-02 22:30:00,18,硬件故障,37,30.19035038294959,124.90639065426274
2021-01-02 23:30:00,17,网络中断,22,37.75936918852582,124.86357903930599
2021-01-03 00:30:00,12,信号质量下降,59,38.377187991112635,121.29652379099696
2021-01-03 01:30:00,2,连接丢失,18,38.16313834052528,123.53076953949484
2021-01-03 02:30:00,17,连接丢失,43,36.29906111336025,126.69997329779571
2021-01-03 03:30:00,12,硬件故障,36,34.2440536919836,126.11494946597807
2021-01-03 04:30:00,4,信号质量下降,38,31.56054402482556,122.66226469651303
2021-01-03 05:30:00,2,硬件故障,53,34.45444647144455,122.34920423689934
2021-01-03 06:30:00,6,网络中断,30,36.564329266963625,124.34393876272419
2021-01-03 07:30:00,16,网络中断,27,39.338990700479606,124.82795193317173
2021-01-03 08:30:00,16,连接丢失,23,34.16826227769076,121.60839194528377
2021-01-03 09:30:00,17,信号质量下降,50,32.18691382850211,125.32110043355262
2021-01-03 10:30:00,10,连接丢失,25,34.310063172663874,121.50717456182299
2021-01-03 11:30:00,13,连接丢失,26,32.92788513669517,120.23130227138282
2021-01-03 12:30:00,17,硬件故障,28,30.53944864577213,127.77632787778664
2021-01-03 13:30:00,12,信号质量下降,15,38.62829709994324,127.6687988761149
2021-01-03 14:30:00,5,信号质量下降,42,32.94797790251399,127.50744181895578
2021-01-03 15:30:00,2,连接丢失,50,34.81203014274595,126.93397967961741
2021-01-03 16:30:00,1,连接丢失,11,30.846903192681978,122.55879363268679
2021-01-03 17:30:00,10,硬件故障,21,39.92914194876015,123.43028482619813
2021-01-03 18:30:00,15,信号质量下降,15,32.24755350406794,126.39920076467729
2021-01-03 19:30:00,7,信号质量下降,45,39.524728619102824,129.7955966361496
2021-01-03 20:30:00,17,网络中断,51,31.02267157580538,126.5019894261172
2021-01-03 21:30:00,5,网络中断,21,32.515577357997195,125.46483312079158
2021-01-03 22:30:00,1,硬件故障,23,36.742132543374765,127.67605434444084
2021-01-03 23:30:00,14,连接丢失,10,38.45768988399644,121.16076615025668
2021-01-04 00:30:00,14,网络中断,20,39.492732294214626,123.23217097513094
2021-01-04 01:30:00,6,硬件故障,38,34.47766599411196,123.94473277251349
2021-01-04 02:30:00,12,硬件故障,5,37.916702390507545,127.97738914570778
2021-01-04 03:30:00,9,连接丢失,51,35.51489235653352,129.4857682543026
2021-01-04 04:30:00,14,硬件故障,30,32.17774757866706,127.28612436692934
2021-01-04 05:30:00,10,网络中断,7,38.136307468322094,126.3391219562566
