timestamp,device_id,operation_time,temperature,device_type
2021-01-01 00:00:00,13,1575,23,Type C
2021-01-01 01:00:00,8,1913,39,Type C
2021-01-01 02:00:00,7,1088,33,Type C
2021-01-01 03:00:00,17,1831,32,Type C
2021-01-01 04:00:00,11,1658,32,Type C
2021-01-01 05:00:00,4,902,30,Type C
2021-01-01 06:00:00,7,1410,31,Type A
2021-01-01 07:00:00,5,1396,23,Type B
2021-01-01 08:00:00,12,1466,32,Type A
2021-01-01 09:00:00,5,1178,29,Type A
2021-01-01 10:00:00,9,1906,26,Type A
2021-01-01 11:00:00,18,1061,39,Type A
2021-01-01 12:00:00,7,1618,25,Type A
2021-01-01 13:00:00,1,1928,21,Type C
2021-01-01 14:00:00,17,1541,29,Type C
2021-01-01 15:00:00,13,1837,39,Type C
2021-01-01 16:00:00,13,1941,21,Type B
2021-01-01 17:00:00,5,1739,34,Type C
2021-01-01 18:00:00,4,1887,31,Type B
2021-01-01 19:00:00,4,1045,33,Type B
2021-01-01 20:00:00,7,1563,36,Type C
2021-01-01 21:00:00,13,1612,39,Type C
2021-01-01 22:00:00,19,1083,39,Type A
2021-01-01 23:00:00,11,1293,32,Type B
2021-01-02 00:00:00,3,1190,31,Type B
2021-01-02 01:00:00,1,1614,20,Type C
2021-01-02 02:00:00,10,1516,32,Type B
2021-01-02 03:00:00,2,1067,23,Type B
2021-01-02 04:00:00,1,1006,26,Type A
2021-01-02 05:00:00,16,1139,38,Type C
2021-01-02 06:00:00,12,1796,33,Type A
2021-01-02 07:00:00,17,1604,24,Type A
2021-01-02 08:00:00,17,1230,20,Type B
2021-01-02 09:00:00,8,1140,24,Type A
2021-01-02 10:00:00,17,1024,32,Type A
2021-01-02 11:00:00,7,1481,36,Type C
2021-01-02 12:00:00,2,1607,30,Type A
2021-01-02 13:00:00,17,1041,35,Type B
2021-01-02 14:00:00,7,1418,35,Type B
2021-01-02 15:00:00,3,1265,31,Type B
2021-01-02 16:00:00,10,948,37,Type C
2021-01-02 17:00:00,7,1445,23,Type C
2021-01-02 18:00:00,14,1954,28,Type C
2021-01-02 19:00:00,9,1279,31,Type A
2021-01-02 20:00:00,10,925,39,Type A
2021-01-02 21:00:00,5,968,24,Type A
