timestamp,device_id,RSRP,RSRQ,SINR,user_count,traffic_data,latitude,longitude
2021-01-01 00:00:00,13,-99,-19,22,139,275,31.28590070330936,127.74381789148241
2021-01-01 01:00:00,8,-68,-13,20,64,434,39.454326791284814,125.34392548274135
2021-01-01 02:00:00,7,-71,-15,4,129,254,30.646238512418055,120.83224829486804
2021-01-01 03:00:00,17,-98,-18,10,77,426,36.385241276790026,126.74076782448826
2021-01-01 04:00:00,11,-74,-15,16,78,438,33.933969386259236,122.40227751651156
2021-01-01 05:00:00,4,-60,-13,10,179,894,33.51998662623995,125.05141035079093
2021-01-01 06:00:00,7,-82,-10,27,189,353,32.766259901089384,122.14733296785721
2021-01-01 07:00:00,5,-61,-13,5,119,758,31.548108638877014,127.93920866045114
2021-01-01 08:00:00,12,-84,-12,14,98,830,36.67395894617522,120.40695940615669
2021-01-01 09:00:00,5,-91,-6,20,116,527,35.974371608313284,127.19259981123363
2021-01-01 10:00:00,9,-64,-14,23,146,165,30.903998334396793,128.4670333681798
2021-01-01 11:00:00,18,-87,-9,14,129,886,33.72175351343592,123.85418851218208
2021-01-01 12:00:00,7,-97,-14,25,119,301,33.37461240126163,127.43699315218682
2021-01-01 13:00:00,1,-100,-10,1,125,581,34.255112211118735,127.04752218604428
2021-01-01 14:00:00,17,-57,-7,14,157,777,30.361788348323536,120.56150746194454
2021-01-01 15:00:00,13,-68,-13,24,103,883,34.344814248842134,124.34265277248093
2021-01-01 16:00:00,13,-90,-19,17,92,733,30.441811882150006,121.12647788671079
2021-01-01 17:00:00,5,-76,-6,11,181,703,34.530806793369685,127.27083924195117
2021-01-01 18:00:00,4,-62,-17,19,62,294,31.82196767346436,121.94687079575247
2021-01-01 19:00:00,4,-62,-10,22,142,407,35.488831481010244,125.67559809466049
2021-01-01 20:00:00,7,-95,-20,26,100,934,39.006149505861764,125.8874628802704
2021-01-01 21:00:00,13,-95,-16,3,171,833,30.26755237347529,122.38535431309184
2021-01-01 22:00:00,19,-94,-15,25,104,448,37.56609490742544,120.32887826627883
2021-01-01 23:00:00,11,-51,-10,6,113,931,34.51167352968022,126.0583335641056
2021-01-02 00:00:00,3,-54,-14,26,106,755,39.10323008740764,128.55280295071105
2021-01-02 01:00:00,1,-69,-13,23,70,831,35.76480865650678,129.76067844422562
2021-01-02 02:00:00,10,-98,-8,26,198,180,39.66532394998194,123.1518732085003
2021-01-02 03:00:00,2,-69,-17,21,197,354,36.01510905953498,126.03614411699165
2021-01-02 04:00:00,1,-85,-10,25,72,622,39.80881245930032,129.73857705296305
2021-01-02 05:00:00,16,-54,-8,26,73,438,30.76155657784554,122.42664168789774
2021-01-02 06:00:00,12,-74,-14,2,70,242,38.60870835707273,127.02215927856649
2021-01-02 07:00:00,17,-84,-18,7,191,978,30.158883575627872,127.88487910786476
2021-01-02 08:00:00,17,-53,-9,11,53,816,37.42643684240663,122.14851965147682
2021-01-02 09:00:00,8,-96,-10,26,178,832,30.612844160197238,120.19673152003395
2021-01-02 10:00:00,17,-89,-18,5,100,242,30.986599616788105,122.94677696149982
2021-01-02 11:00:00,7,-78,-17,1,199,519,35.516270588194324,123.63670156255037
2021-01-02 12:00:00,2,-78,-9,8,57,455,30.728456347952218,124.47424367931178
2021-01-02 13:00:00,17,-58,-7,7,88,543,31.600900266038938,120.8219123817656
2021-01-02 14:00:00,7,-82,-12,28,59,365,35.12136334962808,124.89653504780676
2021-01-02 15:00:00,3,-95,-15,25,76,279,37.51271764143223,127.20474969375296
2021-01-02 16:00:00,10,-94,-8,1,137,900,33.087117027362865,126.36641487745696
2021-01-02 17:00:00,7,-88,-18,6,121,376,39.84300436763087,123.24958988567467
2021-01-02 18:00:00,14,-87,-12,20,74,761,34.213962702153246,125.55521841505026
2021-01-02 19:00:00,9,-61,-14,2,101,212,34.35196567966972,125.02194257216982
2021-01-02 20:00:00,10,-69,-20,6,188,624,32.1728360303264,126.68903798386663
2021-01-02 21:00:00,5,-87,-11,8,51,165,35.1625817622011,123.13898203151503
2021-01-02 22:00:00,15,-75,-6,11,69,160,37.65262085132769,123.56160712906703
2021-01-02 23:00:00,10,-82,-17,27,142,570,38.5557347389197,126.35387213892207
2021-01-03 00:00:00,10,-93,-11,1,169,730,39.70181059403032,124.870289115781
2021-01-03 01:00:00,4,-96,-19,7,81,951,32.64771047121304,127.88641486435745
2021-01-03 02:00:00,13,-96,-6,6,159,910,34.69498630695892,120.52623742549993
2021-01-03 03:00:00,11,-55,-18,29,81,885,37.14021320954415,129.06448346248615
2021-01-03 04:00:00,17,-84,-14,17,150,572,32.631170353639625,122.01362770479938
2021-01-03 05:00:00,9,-84,-6,5,108,665,38.370851829629146,122.2361456545874
2021-01-03 06:00:00,2,-74,-9,26,174,386,34.14955331178895,122.43021118883635
2021-01-03 07:00:00,3,-84,-6,20,179,406,34.05512431544704,120.36586198107766
2021-01-03 08:00:00,17,-52,-12,17,193,197,30.29087353513513,128.88618807339714
2021-01-03 09:00:00,3,-97,-7,3,93,117,31.234529498991943,122.45765353451337
2021-01-03 10:00:00,13,-69,-14,23,113,960,30.20043581489823,125.06624695967076
2021-01-03 11:00:00,4,-62,-18,9,85,886,36.90139020285521,128.8438548800567
2021-01-03 12:00:00,11,-86,-13,25,171,777,32.951652814319644,128.97701993874887
2021-01-03 13:00:00,2,-100,-16,3,162,243,34.621577886291774,121.38657241382623
2021-01-03 14:00:00,19,-82,-10,13,96,793,33.45612792893135,125.20864822355436
2021-01-03 15:00:00,11,-64,-8,14,92,496,36.591082189785276,127.0810825846821
2021-01-03 16:00:00,10,-97,-20,13,121,585,30.527869599170867,126.79023485138835
2021-01-03 17:00:00,4,-94,-17,12,89,997,30.445883217700317,121.09932366510195
2021-01-03 18:00:00,10,-96,-14,23,75,653,37.58828948888622,123.64562349022427
2021-01-03 19:00:00,11,-59,-19,19,104,376,32.506282036755806,122.84563266887443
2021-01-03 20:00:00,8,-62,-16,12,183,619,34.310647776336424,128.44523459742607
2021-01-03 21:00:00,10,-77,-8,13,54,459,35.57017320154128,123.09146367742638
2021-01-03 22:00:00,8,-95,-6,23,131,536,38.773087181894724,120.22811913794379
2021-01-03 23:00:00,12,-84,-10,10,54,599,30.137031686046925,127.41409901095948
2021-01-04 00:00:00,17,-81,-11,26,55,636,34.3535761203357,128.28036156020795
2021-01-04 01:00:00,6,-77,-15,17,63,615,30.210040977531772,122.7722972118613
2021-01-04 02:00:00,11,-89,-20,16,146,854,34.079247030520634,120.17732509291201
2021-01-04 03:00:00,19,-56,-16,7,140,910,39.823749037204564,127.24316386127245
2021-01-04 04:00:00,7,-79,-9,1,93,987,31.193779506913526,121.9844039634265
2021-01-04 05:00:00,2,-55,-10,17,174,116,36.683398976680614,124.27577897240363
2021-01-04 06:00:00,16,-89,-10,26,127,347,39.569187669614344,123.09156594288685
2021-01-04 07:00:00,18,-100,-17,21,131,277,36.749960258324705,127.51426118318149
2021-01-04 08:00:00,12,-55,-12,13,53,153,33.40101849876499,121.52879147953193
2021-01-04 09:00:00,9,-58,-14,23,103,169,39.158729366961815,122.38924614385655
2021-01-04 10:00:00,18,-88,-14,12,106,132,33.97622460502843,120.88518467011251
2021-01-04 11:00:00,17,-62,-13,14,163,114,39.171538100410785,129.28739086005157
